1808722	Hefei	31.864	117.281	CN	01	9465881	che fej|chefei|hfe|hak bui|hap pui chhi|hefei shi|hefej|hefejo|hefejus|hefey|heyfey|ho fei|ho fei hsien|ho fei shih|hofej|hop phi|hozfeiz|khefej|khehfehj|khufej|lu chou|luchow|luchowfu|lunchow|haphai|he fei|he fei shi|hefe i|heopei si|hephe i
993800	Johannesburg	-26.202	28.044	ZA	06	9418183	egoli|giochanesmpournk|igoli|ijohannesburg|ioannesburgum|jnb|jo anna|joanesburgo|joburg|jog annesburg|joganesburg|jogannesburg|johanesburgas|johanesburgo|johannesarborg|johannesbourg|johannesburga|johannesburgo|johannesburgu|jokhanesburg|jokhanezburg|jokhannesburg|j ohanesborg|xohanesburgo|yohannesburg|yohannesburq|yok hon ni su pau|yoxannesburg|cohannes beirk|iohanesburgi
1791681	Weifang	36.710	119.102	CN	25	9386705	duy phuong|i hng chhi|vehjfan|vejfan|vejfang|wef|wei|wei fang shih|wei hsien|wej fang|i fang shi|wei fang|wei fang shi|weipang si|wyfang
1799962	Nanjing	32.062	118.778	CN	04	9314685	nkg|nam kinh|nam kin su|namkin|nan czin|nan zhin|nan ching|nan ching shih|nanchino|nanchinum|nandzing|nandzjina|nang ging|nanjing shi|nankijn|nankin|nankinas|nanking|nankingo|nanquim|nanquin|nantsin nk|nanzging|hnan cing|namgyeong|nan jing|nan jing shi|nanajiga|nanajim|nanajinga
2034937	Shenyang	41.792	123.433	CN	19	9070093	feng t ien|moukden|mukden|she|sen gian nk|sen jang|senjana|senjang|senjangas|senjango|senyanq|shehn jan|shehn jan khot|shen jan|shen yang hsien|shen yang shih|shengking|shenjang|shenyan|shenyang shi|shunjan|sim iong chhi|sing iong|sjenyang|swnjyangh|tham duong|cenyan|chen yang|chen yang shi|san yanga
1811103	Foshan	23.027	113.131	CN	30	9042509	fuo|fachan|fak san|fatshan|fo shan|fo san|fo shan chen|fo shan shih|fosan|fosanas|foshan city|fosjan|fu shan chen|fuk shan|fut shan|fut san su|hotokeyama|huk sang|hut san chhi|namhoi|nan hai|nanhai hsien|nanhoi|nom hoy|phat son|fo shan shi|fu shan|fu shan shi|fwshan|pocan
2643743	London	51.509	-0.126	GB	ENG	8961989	ilondon|lon|lakana|landan|landen|ljondan|llundain|lodoni|londain|londan|londar|londe|londen|londin|londinium|londino|londn|london osh|londona|londonas|londoni|londono|londons|londonu|londra|londres|londrez|londri|londro|londye
5128581	New York City	40.714	-74.006	US	NY	8804190	aebura|bandar raya new york|big apple|cathair nua eabhrac|city of new york|eabhraig nuadh|efrog newydd|evrek nowydh|ga no no|kanon no|kanono|kota new york|lungsod ng new york|n ju jork|nyc|nea yorke|nei yarrick schtadt|neu amsterdam|neu jorck|new amsterdam|new orange|new yorc|new york|new york stad|new york borg|new york kenti|new yorke|new yorku|niujorkas|nju jork
1642911	Jakarta	-6.215	106.845	ID	04	8540121	batavia|big durian|cakarta|d akarta|daerah khusus ibukota jakarta|djakarta|djogkarta|dki jakarta|dzakarta|dzhakarta|dzhakartae|gakarto|giacarta|iacarta|jkt|jacarta|jakarte|jayakarta|jogkarta|koningin van het oosten|new york van java|nga ka that su tu thit khi|sakata|sunda kelapa|sundapura|tzakarta|xacarta|xhakarta|yajgyadaz|yakarta
1277333	Bengaluru	12.972	77.594	IN	19	8495492	blr|ban nkalor|bangalor|bangalore|bangalore city|bangalur|bangaluri|bengalour|bengaluras|bengaluro|bengalurus|baeng geollo|bagalaura|ban jia luo er|bang kha l xr|bang galloleu|bangalaura|bangalora|bangalura|bangaroru|beng gallulu|bengalora|benguluru|bnghalwr|bnglwr|bynglwr|penkalur
